"","label","corr_expression"
"1","Brainstem","0.337309589585938"
"2","left Agranular insula","0.258908743963693"
"3","left Amygdala","0.227161088720637"
"4","left Anterior cingulate area","0.415891338792007"
"5","left Bed nuclei of the stria terminalis","0.301091935266367"
"6","left Caudoputamen","0.433913914392285"
"7","left Cerebellar cortex","0.212694092650579"
"8","left Dentate gyrus, molecular layer","0.269886956108442"
"9","left Entorhinal area","0.263721492427672"
"10","left Field CA1","0.343498987595565"
"11","left Field CA3","0.334276701222164"
"12","left Globus pallidus","0.0190248255468737"
"13","left Hippocampus","0.371599521540737"
"14","left Hypothalamus","0.2904628340689"
"15","left Nucleus accumbens","0.342438663557911"
"16","left Perirhinal area","0.427811126145388"
"17","left Piriform cortex","0.0663166952695427"
"18","left Posterior parietal association areas","0.292835398672581"
"19","left Primary auditory area","0.283108258120424"
"20","left Primary motor area","0.383878907286668"
"21","left Primary somatosensory area","0.40507431048348"
"22","left Primary visual area","0.200659292367073"
"23","left Retrosplenial area","0.363283494032051"
"24","left Subiculum","0.26144265319493"
"25","left Temporal association areas","0.404661676856571"
"26","left Thalamus","0.302665924529196"
"27","left Ventral orbital area","0.360180892494925"
"28","Medulla","0.331268044222755"
"29","Midbrain","0.223408467139474"
"30","Pons","0.339633162623293"
"31","right Agranular insula","0.230632686774714"
"32","right Amygdala","0.218586006381865"
"33","right Anterior cingulate area","0.389208167353128"
"34","right Bed nuclei of the stria terminalis","0.30461786835431"
"35","right Caudoputamen","0.42954328145061"
"36","right Cerebellar cortex","0.231973943105911"
"37","right Dentate gyrus, molecular layer","0.299204737450966"
"38","right Entorhinal area","0.238036189931295"
"39","right Field CA1","0.347396558494571"
"40","right Field CA3","0.345935976843754"
"41","right Globus pallidus","0.00317262978684673"
"42","right Hippocampus","0.360027315581273"
"43","right Hypothalamus","0.291058633647709"
"44","right Nucleus accumbens","0.316137738334335"
"45","right Perirhinal area","0.424810306806497"
"46","right Piriform cortex","0.0964344920821218"
"47","right Posterior parietal association areas","0.271841918569068"
"48","right Primary auditory area","0.168485793742907"
"49","right Primary motor area","0.382830705919979"
"50","right Primary somatosensory area","0.405265916073401"
"51","right Primary visual area","0.207184787765868"
"52","right Retrosplenial area","0.351048161720992"
"53","right Subiculum","0.28174582495634"
"54","right Temporal association areas","0.400915755841486"
"55","right Thalamus","0.299136769556147"
"56","right Ventral orbital area","0.302273087473607"
